,source,author,title,description,url,urlToImage,publishedAt,content,date,nextPosition
123,"{'id': None, 'name': 'PRNewswire'}",,High-Density Polyethylene Global Market Report 2023,"NEW YORK, Feb. 15, 2023 /PRNewswire/ -- Major players in the high-density polyethylene market are Asahi Kasei Corp., Braskem S.A, Chevron Phillips Chemical Co, Dow Chemical Co, Exxon Mobil Corp, Formosa Plastics Corp, LyondellBasell industries NV, Borealis AG…",https://www.prnewswire.com/news-releases/high-density-polyethylene-global-market-report-2023-301746588.html,https://mma.prnewswire.com/media/2002276/Reportlinker.jpg?p=facebook,2023-02-15T17:20:00Z,"NEW YORK, Feb. 15, 2023 /PRNewswire/ -- Major players in the high-density polyethylene market are Asahi Kasei Corp., Braskem S.A, Chevron Phillips Chemical Co, Dow Chemical Co, Exxon Mobil Corp, Form… [+7175 chars]",2023-02-15,1.0
124,"{'id': None, 'name': 'PRNewswire'}",,Toluene Global Market Report 2023,"NEW YORK, Feb. 15, 2023 /PRNewswire/ -- Major players in the toluene market are Exxon Mobil Corporation, Sinopec, Royal Dutch Shell PLC, Reliance Industries, BASF SE, Valero Energy, BP Chemicals, China National Petroleum, Mitsui Chemicals, Chevron Phillips, a…",https://www.prnewswire.com/news-releases/toluene-global-market-report-2023-301746598.html,https://mma.prnewswire.com/media/2002280/ReportLinker_Research_Infographic.jpg?p=facebook,2023-02-15T17:50:00Z,"NEW YORK, Feb. 15, 2023 /PRNewswire/ -- Major players in the toluene market are Exxon Mobil Corporation, Sinopec, Royal Dutch Shell PLC, Reliance Industries, BASF SE, Valero Energy, BP Chemicals, Chi… [+6697 chars]",2023-02-15,1.0
125,"{'id': None, 'name': 'PRNewswire'}",,"Automotive engine oil market to grow at a CAGR of 3.7%: Highlights on COVID-19 analysis, recovery, and latest trends - Technavio","NEW YORK, Feb. 14, 2023 /PRNewswire/ -- The global automotive engine oil market size is estimated to increase by 1,016.72 million l between 2022 and 2027. The market's growth momentum will accelerate at a CAGR of 3.7%. The report also includes historic market…",https://www.prnewswire.com/news-releases/automotive-engine-oil-market-to-grow-at-a-cagr-of-3-7-highlights-on-covid-19-analysis-recovery-and-latest-trends---technavio-301745119.html,https://mma.prnewswire.com/media/2001044/20230210115306_bw_2023_v1.jpg?p=facebook,2023-02-14T16:15:00Z,"NEW YORK, Feb. 14, 2023 /PRNewswire/ -- The global automotive engine oil market size is estimated to increase by 1,016.72 million l between 2022 and 2027. The market's growth momentum will accelerate… [+27620 chars]",2023-02-14,1.0
126,"{'id': None, 'name': 'Yahoo Entertainment'}",ReportLinker,Global Polypropylene Market to Reach $170.5 Billion by 2030,The global economy is at a critical crossroads with a number of interlocking challenges and crises running in parallel. The uncertainty around how Russia`s...,https://finance.yahoo.com/news/global-polypropylene-market-reach-170-110900819.html,https://media.zenfs.com/en/globenewswire.com/4ce8962afb8a41766b626a7e61c8413f,2023-02-15T11:09:00Z,The global economy is at a critical crossroads with a number of interlocking challenges and crises running in parallel. The uncertainty around how Russia`s war on Ukraine will play out this year and … [+36013 chars],2023-02-15,1.0
127,"{'id': None, 'name': 'Seeking Alpha'}",The Wealth Wizard,Imperial Oil's Steady Growth Across All Verticals Positions It For Future Success,Imperial Oil Limited operates in the upstream and downstream sectors of the oil and gas business. Click here to read my analysis of IMO stock.,https://seekingalpha.com/article/4578525-imperial-oils-steady-growth-across-all-verticals-positions-it-for-future-success,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1392881613/image_1392881613.jpg?io=getty-c-w1536,2023-02-15T15:08:26Z,"pandemin
Imperial Oil Limited (NYSE:IMO) operates in the upstream and downstream sectors of the oil and gas business. Imperial Oil, a significant player in the Canadian energy sector, has a distinct… [+13316 chars]",2023-02-15,1.0
128,"{'id': None, 'name': 'Seeking Alpha'}",Chris Lau,Why Energy Is A Buy After The January 2023 CPI Report,January 2023 CPI report confirms disinflation in play. The highly anticipated CPI report is becoming a market fixation. Click here to read why Energy is a Buy.,https://seekingalpha.com/article/4578190-january-2023-cpi-report-energy-buy,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1385769431/image_1385769431.jpg?io=getty-c-w1536,2023-02-14T18:06:28Z,"Drazen Zigic/iStock via Getty Images
The highly anticipated Consumer Price Index report is becoming a market fixation. Speculators could use the CPI rising by 6.4% before seasonal adjustment, higher… [+5679 chars]",2023-02-14,1.0
129,"{'id': None, 'name': 'PR Newswire UK'}",,Breathable Membrane Market to Observe Highest Growth of USD 3.56 Billion with Excellent CAGR of 10.35% by 2029,"MONTREAL, Feb. 15, 2023 /PRNewswire/ -- Data Bridge Market research has recently issued comprehensive industry research on ""Breathable Membrane Market"" which includes growth analysis, regional marketing, challenges, opportunities, and drivers analysed in the …",https://www.prnewswire.co.uk/news-releases/breathable-membrane-market-to-observe-highest-growth-of-usd-3-56-billion-with-excellent-cagr-of-10-35-by-2029--301746577.html,https://mma.prnewswire.com/media/1011053/Data_Bridge_Market_Research_Logo.jpg?p=facebook,2023-02-14T18:30:00Z,"MONTREAL, Feb. 15, 2023 /PRNewswire/ -- Data Bridge Market research has recently issued comprehensive industry research on ""Breathable Membrane Market"" which includes growth analysis, regional market… [+17143 chars]",2023-02-14,1.0
130,"{'id': None, 'name': 'MarketWatch'}",MarketWatch Automation,"Company Close Updates: Exxon Mobil Corp. stock falls Tuesday, underperforms market","Shares of Exxon Mobil Corp. slid 1.17% to $116.42 Tuesday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500...",https://www.marketwatch.com/data-news/exxon-mobil-corp-stock-falls-tuesday-underperforms-market-3d7fd7b6-05c8344708f9,https://images.mktw.net/im-220105/social,2023-02-14T22:33:00Z,"Shares of Exxon Mobil Corp. 
 XOM,
 -1.17%
slid 1.17% to $116.42 Tuesday, on what proved to be an all-around grim trading session for the stock market, with the S&amp;P 500 Index 
 SPX,
 -0.03%… [+537 chars]",2023-02-14,1.0
131,"{'id': None, 'name': 'Seeking Alpha'}",Alessandro Calvo,IXC: Realize The Profits Before Reality Sets In,The oil market cycle is now moving into a less favorable phase for the ETF. Read here why I am bearish on IXC ETF.,https://seekingalpha.com/article/4578170-ixc-realize-the-profits-before-reality-sets-in,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1363511660/image_1363511660.jpg?io=getty-c-w1536,2023-02-14T18:14:19Z,Editor's note: Seeking Alpha is proud to welcome Alessandro Calvo as a new contributor. It's easy to become a Seeking Alpha contributor and earn money for your best investment ideas. Active contribut… [+13053 chars],2023-02-14,1.0
132,"{'id': None, 'name': 'Seeking Alpha'}",Keith Williams,"Allete: Dividend Play, Leading The Renewables Transition",Allete is a regulated power utility but one that has substantial investment in renewable energy. Read more to see my thoughts on ALE stock and my recommendation.,https://seekingalpha.com/article/4578560-allete-dividend-play-leading-renewables-transition,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1388908655/image_1388908655.jpg?io=getty-c-w1536,2023-02-15T16:24:32Z,"Sakorn Sukkasemsakorn
A large group of Seeking Alpha dividend investors are very focused on fossil fuel investments, especially US oil and gas majors, and in particular Exxon Mobil (XOM). XOM has pr… [+10229 chars]",2023-02-15,1.0
133,"{'id': 'reuters', 'name': 'Reuters'}",,Exxon to use Honeywell carbon capture tech at hydrogen facility | Reuters,"Exxon Mobil Corp <a href=""https://www.reuters.com/companies/XOM.N"" target=""_blank"">(XOM.N)</a> will use technology from Honeywell International Inc <a href=""https://www.reuters.com/companies/HON.O"" target=""_blank"">(HON.O)</a> to capture carbon dioxide at a pr…",https://www.reuters.com/business/sustainable-business/exxon-use-honeywell-carbon-capture-tech-hydrogen-facility-2023-02-15/,https://www.reuters.com/resizer/4opy2V1KNb94vYWCi5K-hVDwWeg=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/KTKGEH4VGFPELMSPLYGBMXXKCI.jpg,2023-02-15T13:11:45Z,"NEW YORK, Feb 15 (Reuters) - Exxon Mobil Corp (XOM.N) will use technology from Honeywell International Inc (HON.O) to capture carbon dioxide at a proposed hydrogen production facility in Texas, Honey… [+1660 chars]",2023-02-15,1.0
134,"{'id': None, 'name': 'PRNewswire'}",,MicroSectors™ Launches Energy Long & Short Exchange Traded Notes on NYSE Arca,"NEW YORK, Feb. 14, 2023 /PRNewswire/ - REX Shares, LLC (""REX"") today announced the launch of two new MicroSectors Exchange Traded Notes (""ETNs"") issued by Bank of Montreal (""BMO""), linked to the Solactive MicroSectors™ Energy Index. MicroSectors Energy 3x Lev…",https://www.prnewswire.com/news-releases/microsectors-launches-energy-long--short-exchange-traded-notes-on-nyse-arca-301746902.html,,2023-02-14T22:30:00Z,"NEW YORK, Feb. 14, 2023 /PRNewswire/ - REX Shares, LLC (""REX"") today announced the launch of two new MicroSectors Exchange Traded Notes (""ETNs"") issued by Bank of Montreal (""BMO""), linked to the Sola… [+6546 chars]",2023-02-14,1.0
135,"{'id': None, 'name': 'GlobeNewswire'}",ReportLinker,Global Polypropylene Market to Reach $170.5 Billion by 2030,The global economy is at a critical crossroads with a number of interlocking challenges and crises running in parallel. The uncertainty around how Russia`s war on Ukraine will play out this year and the war`s role in creating global instability means that the…,https://www.globenewswire.com/news-release/2023/02/15/2608461/0/en/Global-Polypropylene-Market-to-Reach-170-5-Billion-by-2030.html,https://ml.globenewswire.com/Resource/Download/3e0b82c2-02d7-44c8-b22f-561e0f321f39?size=1,2023-02-15T11:09:00Z,"New York, Feb. 15, 2023 (GLOBE NEWSWIRE) -- Reportlinker.com announces the release of the report ""Global Polypropylene Industry"" - https://www.reportlinker.com/p05799387/?utm_source=GNWFood and fuel … [+35623 chars]",2023-02-15,1.0
136,"{'id': None, 'name': 'Seeking Alpha'}",The Sunday Investor,"SPHD: 14 Substitutions Made, High Yield Remains, But What's Next?",SPHD recently substituted 14 stocks as part of its semi-annual reconstitution process. Click here to read my take on what this reconstitution means for the ETF.,https://seekingalpha.com/article/4577949-sphd-etf-14-substitutions-made-high-yield-remains-what-next,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1419802643/image_1419802643.jpg?io=getty-c-w1536,2023-02-14T02:08:33Z,"Sakorn Sukkasemsakorn/iStock via Getty Images
Investment Thesis
 Designing an income-producing portfolio that limits losses during market crashes is an admirable goal that makes sense for investors… [+10439 chars]",2023-02-14,1.0
137,"{'id': None, 'name': 'PRNewswire'}",,Ethylene-Petrochemicals Global Market Report 2023,"NEW YORK, Feb. 15, 2023 /PRNewswire/ -- Major players in the ethylene-petrochemicals market are AkzoNobel, BASF SE, Borealis, Chevron Phillips Chemical Company LLC, China Petrochemical Corporation, China Petroleum & Chemical Corporation, Clariant, Dow Chemica…",https://www.prnewswire.com/news-releases/ethylene-petrochemicals-global-market-report-2023-301746578.html,https://mma.prnewswire.com/media/2002275/Reportlinker.jpg?p=facebook,2023-02-15T17:10:00Z,"NEW YORK, Feb. 15, 2023 /PRNewswire/ -- Major players in the ethylene-petrochemicals market are AkzoNobel, BASF SE, Borealis, Chevron Phillips Chemical Company LLC, China Petrochemical Corporation, C… [+7317 chars]",2023-02-15,1.0
138,"{'id': 'reuters', 'name': 'Reuters'}",,U.S. oil refiner HF Sinclair names Tim Go as CEO | Reuters,"U.S. oil refiner HF Sinclair Corp <a href=""https://www.reuters.com/companies/DINO.N"" target=""_blank"">(DINO.N)</a> on Wednesday named President Tim Go to become chief executive of the eighth largest U.S. refiner by capacity on May 9.",https://www.reuters.com/markets/commodities/us-oil-refiner-hf-sinclair-names-tim-go-ceo-2023-02-15/,https://www.reuters.com/pf/resources/images/reuters/reuters-default.png?d=131,2023-02-15T23:46:15Z,"Feb 15 (Reuters) - U.S. oil refiner HF Sinclair Corp (DINO.N) on Wednesday named President Tim Go to become chief executive of the eighth largest U.S. refiner by capacity on May 9.
Go, 56, has been … [+1386 chars]",2023-02-15,1.0
139,"{'id': None, 'name': 'Seeking Alpha'}",Andrew Hecht,ERX: A Short-Term Trading Product,"Oil, gas, and energy stocks may see another rally. Read why the ERX ETF gives a big boost to XLE.",https://seekingalpha.com/article/4578239-erx-short-term-trading-product,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1280385662/image_1280385662.jpg?io=getty-c-w1536,2023-02-14T20:13:57Z,"imaginima
Samuel Clemens, the great American author who took the pen name Mark Twain, once wrote “The reports of my death have been greatly exaggerated.” This quote appropriately describes the recen… [+11908 chars]",2023-02-14,1.0
140,"{'id': None, 'name': 'PRNewswire'}",,Breathable Membrane Market to Observe Highest Growth of USD 3.56 Billion with Excellent CAGR of 10.35% by 2029,"MONTREAL, Feb. 15, 2023 /PRNewswire/ -- Data Bridge Market research has recently issued comprehensive industry research on ""Breathable Membrane Market"" which includes growth analysis, regional marketing, challenges, opportunities, and drivers analysed in the …",https://www.prnewswire.com/news-releases/breathable-membrane-market-to-observe-highest-growth-of-usd-3-56-billion-with-excellent-cagr-of-10-35-by-2029--301746570.html,https://mma.prnewswire.com/media/1011053/Data_Bridge_Market_Research_Logo.jpg?p=facebook,2023-02-14T18:30:00Z,"MONTREAL, Feb. 15, 2023 /PRNewswire/ -- Data Bridge Market research has recently issued comprehensive industry research on ""Breathable Membrane Market"" which includes growth analysis, regional market… [+17116 chars]",2023-02-14,1.0
141,"{'id': 'bloomberg', 'name': 'Bloomberg'}",Katherine Greifeld,Activist Investor Engine No. 1 Launches Supply-Chain Focused ETF,Engine No. 1’s latest exchange-traded fund will focus on companies seeking to bring their operations closer to home after the pandemic upended global supply chains.,https://www.bloomberg.com/news/articles/2023-02-15/activist-investor-engine-no-1-launches-supply-chain-focused-etf,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/iBt_K5m_o9gQ/v1/1200x800.jpg,2023-02-15T15:53:36Z,"Engine No. 1s latest exchange-traded fund will 
focus on companies seeking to bring their operations closer to home after the pandemic upended global supply chains. 
The Engine No. 1 Transform Supp… [+1797 chars]",2023-02-15,1.0
142,"{'id': None, 'name': 'Seeking Alpha'}",Frederik Mueller,5 Attractive Dividend Stocks From An Emerging Markets Country,"When looking for ways to diversify your investment portfolio outside of US, there are plenty of other possibilities. See 5 dividend stocks from emerging markets.",https://seekingalpha.com/article/4578131-5-attractive-dividend-stocks-emerging-markets-country,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1306118374/image_1306118374.jpg?io=getty-c-w1536,2023-02-14T16:29:35Z,"designer491
Investment Thesis
 When aiming to diversify your investment portfolio among countries outside the United States, emerging markets often come into focus. In this article, I will present … [+13385 chars]",2023-02-14,1.0
143,"{'id': None, 'name': 'Seeking Alpha'}",Dair Sansyzbayev,Exxon Mobil: Still Got Fuel To Rally,"Exxon Mobil is very well positioned to continue benefiting from the current energy supercycle. Click here to find out how, and see why I rate XOM stock a Buy.",https://seekingalpha.com/article/4578861-exxon-mobil-still-got-fuel-stock-rally,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1411849062/image_1411849062.jpg?io=getty-c-w1536,2023-02-16T07:44:40Z,"JHVEPhoto
Investment thesis
 Exxon Mobil (NYSE:XOM) demonstrated record breaking financial results for FY 2022 by being well-prepared and positioned for a massive rally in crude oil prices during l… [+8470 chars]",2023-02-16,-1.0
144,"{'id': None, 'name': 'Seeking Alpha'}",Burt Rothberg,Exxon Mobil: Bullish Fundamentals Vs. High Price,"Exxon has almost doubled in a year, and the oil/gas situation is bullish, but XOM may be fully discounting it. See why XOM stock is a Buy now.",https://seekingalpha.com/article/4578840-exxon-mobil-bullish-fundamentals-vs-high-price,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1397502339/image_1397502339.jpg?io=getty-c-w1536,2023-02-16T05:36:34Z,"jetcityimage/iStock Editorial via Getty Images
On July 30, 2021, I wrote a bullish article on (NYSE:XOM). This generated a lot of page views (for me anyway, since I usually write about off the run i… [+4509 chars]",2023-02-16,-1.0
145,"{'id': None, 'name': 'Yahoo Entertainment'}",ReportLinker,Ethylene Propylene (EPDM) Global Market Report 2023,"Major players in the ethylene-propylene market are The Dow Chemical Company, Exxon Mobil Corporation, Johns Manville, Inc, KUMHO POLYCHEM, Lanxess AG, Lion...",https://finance.yahoo.com/news/ethylene-propylene-epdm-global-market-144500589.html,https://media.zenfs.com/en/globenewswire.com/4ce8962afb8a41766b626a7e61c8413f,2023-02-15T14:45:00Z,"Major players in the ethylene-propylene market are The Dow Chemical Company, Exxon Mobil Corporation, Johns Manville, Inc, KUMHO POLYCHEM, Lanxess AG, Lion Elastomers LLC, Mitsui Chemicals, Inc, SK G… [+6448 chars]",2023-02-15,1.0
146,"{'id': None, 'name': 'Yahoo Entertainment'}",PR Newswire,Toluene Global Market Report 2023,"Major players in the toluene market are Exxon Mobil Corporation, Sinopec, Royal Dutch Shell PLC, Reliance Industries, BASF SE, Valero Energy, BP Chemicals...",https://finance.yahoo.com/news/toluene-global-market-report-2023-175000602.html,https://media.zenfs.com/en/prnewswire.com/56bec9b0419c6b135bd09e278caee008,2023-02-15T17:50:00Z,"NEW YORK, Feb. 15, 2023 /PRNewswire/ -- Major players in the toluene market are Exxon Mobil Corporation, Sinopec, Royal Dutch Shell PLC, Reliance Industries, BASF SE, Valero Energy, BP Chemicals, Chi… [+6869 chars]",2023-02-15,1.0
147,"{'id': None, 'name': 'Yahoo Entertainment'}",PR Newswire,High-Density Polyethylene Global Market Report 2023,"Major players in the high-density polyethylene market are Asahi Kasei Corp., Braskem S.A, Chevron Phillips Chemical Co, Dow Chemical Co, Exxon Mobil Corp...",https://finance.yahoo.com/news/high-density-polyethylene-global-market-172000430.html,https://media.zenfs.com/en/prnewswire.com/c6082a7307cf8124e19b0da8340bb75b,2023-02-15T17:20:00Z,"NEW YORK, Feb. 15, 2023 /PRNewswire/ -- Major players in the high-density polyethylene market are Asahi Kasei Corp., Braskem S.A, Chevron Phillips Chemical Co, Dow Chemical Co, Exxon Mobil Corp, Form… [+7365 chars]",2023-02-15,1.0
148,"{'id': None, 'name': 'Seeking Alpha'}",Jennifer Warren,Global Energy Transition: Methods And Soft Landings (Video Interview),"Oil and gas fundamentals are favorable in light of demand, supply, and geopolitical factors. See why infrastructure funds are one way to play the energy transition.",https://seekingalpha.com/article/4578761-global-energy-transition-soft-landings-video-interview,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1158184877/image_1158184877.jpg?io=getty-c-w1536,2023-02-16T10:55:00Z,"Daniel Balakov/E+ via Getty Images
In a video interview Seeking Alpha's Michael Hopkins speaks with Jennifer Warren about the economic outlook in energy and adapting a portfolio to soften volatility… [+6251 chars]",2023-02-16,-1.0
149,"{'id': None, 'name': 'The Intercept'}",Lee Fang,Bank Lobbyists Hired by Congress to Oversee Banking Regulations,"Influence peddlers have taken key congressional jobs. 
The post Bank Lobbyists Hired by Congress to Oversee Banking Regulations appeared first on The Intercept.",https://theintercept.com/2023/02/15/congress-bank-lobbying/,https://theintercept.imgix.net/wp-uploads/sites/1/2023/02/GettyImages-1032687466-atm-cash-bank-regulations.jpg?auto=compress%2Cformat&q=90&fit=crop&w=1200&h=800,2023-02-15T20:58:02Z,"During the State
 of the Union last week, President Joe Biden asked Congress to pass legislation cracking down on hidden and often predatory fees charged by banks in the form of overdraft and late p… [+6121 chars]",2023-02-15,1.0
150,"{'id': 'independent', 'name': 'Independent'}",Ian Jones,How energy company profits have risen year-on-year,Many companies have seen profits more than double.,https://www.independent.co.uk/business/how-energy-company-profits-have-risen-yearonyear-b2283705.html,https://static.independent.co.uk/2023/02/16/15/abb971f1bbf41a0e1ce360ecc8452181Y29udGVudHNlYXJjaGFwaSwxNjc2NjM3ODI1-2.69796998.jpg?quality=75&width=1200&auto=webp,2023-02-16T14:51:26Z,"For free real time breaking news alerts sent straight to your inbox sign up to our breaking news emails
Sign up to our free breaking news emails
Energy giants have so far notched up mammoth earning… [+1177 chars]",2023-02-16,-1.0
151,"{'id': 'rt', 'name': 'RT'}",RT,Russian oil industry thriving under Western sanctions – Bloomberg,"Russian oil companies did the most drilling in over a decade last year, showing no signs of harm from Western sanctions, Bloomberg reports Read Full Article at RT.com",https://www.rt.com/business/571453-russia-oil-industry-eu-sanctions/,https://mf.b37mrtl.ru/files/2023.02/article/63eb761985f54051096b3e49.jpg,2023-02-15T05:15:18Z,"Russian oil companies conducted the most drilling at their fields in over a decade last year, showing no signs that international sanctions or the departure of some Western firms harmed upstream oper… [+2663 chars]",2023-02-15,1.0
152,"{'id': None, 'name': 'CoinDesk'}",Jennifer Murphy,What Fat Tails and Revolutionary Ages Mean for Digital Assets,"Stock market returns are overwhelmingly driven by a small group of winners. Jennifer Murphy, CEO of Runa Digital Assets, expects the same trend in digital assets.",https://www.coindesk.com/business/2023/02/16/what-fat-tails-and-revolutionary-ages-mean-for-digital-assets/,https://www.coindesk.com/resizer/pR4aWeOgkvVoPqyrPcCeVziVT3A=/1200x628/center/middle/cloudfront-us-east-1.images.arcpublishing.com/coindesk/MKTB3KP35NBP7LFSFVOTBSYXJM.jpg,2023-02-16T17:03:26Z,"Stock market returns are overwhelmingly driven by a small group of winners. We expect the same trend in digital assets.
Between 1926 and 2016, just five out of 25,300 publicly traded companies drove… [+3320 chars]",2023-02-16,-1.0
153,"{'id': None, 'name': 'Yahoo Entertainment'}",Scott DiSavino,U.S. LNG producers poised to leapfrog rivals with three new projects,"At least three proposed U.S. liquefied natural gas (LNG) export plants have likely found enough customers to receive financial approvals this year, according...",https://finance.yahoo.com/news/u-lng-producers-poised-leapfrog-190931157.html,https://media.zenfs.com/en/reuters-finance.com/86b8e34dcb987d565e4d4ed8bd1fd466,2023-02-16T19:09:31Z,"By Scott DiSavino
NEW YORK (Reuters) - At least three proposed U.S. liquefied natural gas (LNG) export plants have likely found enough customers to receive financial approvals this year, according t… [+3456 chars]",2023-02-16,-1.0
154,"{'id': None, 'name': 'Yahoo Entertainment'}",Vardah Gill,Value Investor Joel Greenblatt’s Top 12 Dividend Picks,"In this article, we will discuss value investor Joel Greenblatt’s top 12 dividend picks. You can skip our detailed analysis of Greenblatt’s investment...",https://finance.yahoo.com/news/value-investor-joel-greenblatt-top-222445187.html,https://media.zenfs.com/en/insidermonkey.com/7a723550985266f1a78e8a75f031110c,2023-02-15T22:24:45Z,"In this article, we will discuss value investor Joel Greenblatt's top 12 dividend picks. You can skip our detailed analysis of Greenblatt's investment philosophy and his hedge fund's performance over… [+14360 chars]",2023-02-15,1.0
155,"{'id': None, 'name': 'ValueWalk'}",Aman Jain,Top 10 Holdings Of Phil Gross And Robert Atchinson,"Phil Gross and Robert Atchinson founded Adage Capital Partners in 2001. Gross was initially a healthcare and retail analyst at the Harvard Management Company (HMC), and later became a partner at HMC. Atchinson also worked for HMC from 1991 to 2001. Let’s take…",https://www.valuewalk.com/top-holdings-of-phil-gross-and-robert-atchinson/,https://www.valuewalk.com/wp-content/uploads/2023/01/Stock-investing.jpeg,2023-02-16T15:24:52Z,"Phil Gross and Robert Atchinson founded Adage Capital Partners in 2001. Gross was initially a healthcare and retail analyst at the Harvard Management Company (HMC), and later became a partner at HMC.… [+5487 chars]",2023-02-16,-1.0
156,"{'id': None, 'name': 'Biztoc.com'}",seekingalpha.com,Exxon Mobil: Bullish Fundamentals Vs. High Price,"On July 30, 2021, I wrote a bullish article on (NYSE:XOM). This generated a lot of page views (for me anyway, since I usually write about off the run investments). It was also timed well; XOM has just about doubled since then. Total return, including reinvest…",https://biztoc.com/x/3ff67c357bee5af3,https://c.biztoc.com/p/3ff67c357bee5af3/og.webp,2023-02-16T10:26:04Z,"On July 30, 2021, I wrote a bullish article on (NYSE:XOM). This generated a lot of page views (for me anyway, since I usually write about off the run investments). It was also timed well; XOM has jus… [+275 chars]",2023-02-16,-1.0
157,"{'id': None, 'name': 'Seeking Alpha'}",Fluidsdoc,"CGX Energy: Corentyne Block, Could Be Sevens Or It Could Be Snake Eyes","In this article, we catch up on CGX Energy and their Corentyne prospect offshore Guyana. Click for our take on this small-cap with big dreams.",https://seekingalpha.com/article/4577851-cgx-energy-corentyne-block-could-be-sevens-or-it-could-be-snake-eyes,https://media.gettyimages.com/id/172767991/photo/pink-piggy-bank-slot-machine-on-white-background.jpg?b=1&s=170667a&w=0&k=20&c=E0eS5AdS1RJS1-7KnfTUchEFuPTTfQNx_L9WeYlku3Y=,2023-02-15T13:00:00Z,"Pink piggy bank slot machine on white background
 DNY59/E+ via Getty Images
Introduction
 The CGX Energy Inc. (OTCPK:CGXEF) saga is a couple of years old now. This will be the third time we've cov… [+7291 chars]",2023-02-15,1.0
158,"{'id': None, 'name': 'GlobeNewswire'}",ReportLinker,Low-Density Polyethylene Global Market Report 2023,"Major players in the low-density polyethylene market are Formosa Plastics Corporation, Dow Chemical Company, BASF SE, Chevron Phillips Chemical Company, DuPont de Nemours, LG Chem, Exxon Mobil Corporation, Reliance Industries Ltd, and LyondellBasell Industrie…",https://www.globenewswire.com/news-release/2023/02/15/2608862/0/en/Low-Density-Polyethylene-Global-Market-Report-2023.html,https://ml.globenewswire.com/Resource/Download/3e0b82c2-02d7-44c8-b22f-561e0f321f39?size=1,2023-02-15T14:20:00Z,"New York, Feb. 15, 2023 (GLOBE NEWSWIRE) -- Reportlinker.com announces the release of the report ""Low-Density Polyethylene Global Market Report 2023"" - https://www.reportlinker.com/p06281552/?utm_sou… [+7146 chars]",2023-02-15,1.0
159,"{'id': None, 'name': 'GlobeNewswire'}",ReportLinker,Ethylene Propylene (EPDM) Global Market Report 2023,"Major players in the ethylene-propylene market are The Dow Chemical Company, Exxon Mobil Corporation, Johns Manville, Inc, KUMHO POLYCHEM, Lanxess AG, Lion Elastomers LLC, Mitsui Chemicals, Inc, SK Global Chemical Co Ltd, Sumitomo Chemical Co, Ltd, and Versal…",https://www.globenewswire.com/news-release/2023/02/15/2608904/0/en/Ethylene-Propylene-EPDM-Global-Market-Report-2023.html,https://ml.globenewswire.com/Resource/Download/3e0b82c2-02d7-44c8-b22f-561e0f321f39?size=1,2023-02-15T14:45:00Z,"New York, Feb. 15, 2023 (GLOBE NEWSWIRE) -- Reportlinker.com announces the release of the report ""Ethylene Propylene (EPDM) Global Market Report 2023"" - https://www.reportlinker.com/p06281537/?utm_so… [+6101 chars]",2023-02-15,1.0
160,"{'id': None, 'name': 'GlobeNewswire'}",ReportLinker,Polypropylene Global Market Report 2023,"Major players in the polypropylene market are Lyondellbasell, Sinopec, Sabic, Exxon Mobil, Braskem, PetroChina, Reliance Industries, Formosa Plastics, Borealis, and Asahi Kasei Plastics. The global polypropylene market is expected to grow from $95.46 billion …",https://www.globenewswire.com/news-release/2023/02/15/2608747/0/en/Polypropylene-Global-Market-Report-2023.html,https://ml.globenewswire.com/Resource/Download/3e0b82c2-02d7-44c8-b22f-561e0f321f39?size=1,2023-02-15T13:40:00Z,"New York, Feb. 15, 2023 (GLOBE NEWSWIRE) -- Reportlinker.com announces the release of the report ""Polypropylene Global Market Report 2023"" - https://www.reportlinker.com/p06281607/?utm_source=GNWMajo… [+6360 chars]",2023-02-15,1.0
